text,intent
what is the capital of france,OUT_OF_SCOPE
there is no water supply in vasant kunj,CIVIC_GRIEVANCE
what is the capital of france,OUT_OF_SCOPE
i am fine so the problem is that there is a road on that road there is a pipe leaking,CIVIC_GRIEVANCE
হাই,GREETING
i am fine but the pipeline outside my house in railway station road is leaking,CIVIC_GRIEVANCE
blabla,OUT_OF_SCOPE
stop,DENIAL
yes please,CONFIRMATION
what is 2 plus 2,OUT_OF_SCOPE
good afternoon,GREETING
the road near saket is completely broken and damaged,CIVIC_GRIEVANCE
good morning,GREETING
power has been out in saket for 4 hours,CIVIC_GRIEVANCE
yes please,CONFIRMATION
garbage has not been collected from railway station road for 3 days,CIVIC_GRIEVANCE
எங்கள் பகுதியில் தண்ணீர் வரவில்லை,CIVIC_GRIEVANCE
मेरे इलाके में बिजली नहीं आ रही है,CIVIC_GRIEVANCE
street light band hai sector 17 me,CIVIC_GRIEVANCE
hello sir there is a water pipe leaking on the road in sector 17,CIVIC_GRIEVANCE
yeah,CONFIRMATION
open manhole on road near sector 17,CIVIC_GRIEVANCE
রাস্তার আলো কাজ করছে না,CIVIC_GRIEVANCE
yep,CONFIRMATION
road problem,NEEDS_CLARIFICATION
there is a problem,NEEDS_CLARIFICATION
huge deep potholes on the main road in model town,CIVIC_GRIEVANCE
i am fine,CASUAL_CONVERSATION
our taps are dry since monday,CIVIC_GRIEVANCE
live electrical wire dangling dangerously near sector 17,CIVIC_GRIEVANCE
bahut dhanyawad,THANKS
hamare area saket me paani nahi aa raha hai,CIVIC_GRIEVANCE
sure,CONFIRMATION
that's right,CONFIRMATION
தெருவிளக்கு வேலை செய்யவில்லை,CIVIC_GRIEVANCE
cricket score,OUT_OF_SCOPE
మా ప్రాంతంలో నీరు రావడం లేదు,CIVIC_GRIEVANCE
dirty contaminated water coming from tap in railway station road,CIVIC_GRIEVANCE
drainage gutter overflow flooding road in karol bagh,CIVIC_GRIEVANCE
street lights have been off for 7 nights in karol bagh,CIVIC_GRIEVANCE
tell me a joke,OUT_OF_SCOPE
can you help me,CAPABILITIES
edit details,CORRECTION
hamare area saket me paani nahi aa raha hai,CIVIC_GRIEVANCE
i am fine so the problem is that there is a road on that road there is a pipe leaking,CIVIC_GRIEVANCE
thank you sir,THANKS
hello,GREETING
traffic signal lights not working at model town intersection,CIVIC_GRIEVANCE
that's right,CONFIRMATION
road ki condition bahut kharab hai karol bagh me,CIVIC_GRIEVANCE
தெருவிளக்கு வேலை செய்யவில்லை,CIVIC_GRIEVANCE
వీధి దీపం పనిచేయడం లేదు,CIVIC_GRIEVANCE
our taps are dry since last night,CIVIC_GRIEVANCE
tell me about yourself,CAPABILITIES
nahi,DENIAL
drainage gutter overflow flooding road in railway station road,CIVIC_GRIEVANCE
okay thanks,THANKS
tell me about yourself,CAPABILITIES
options,CAPABILITIES
kaise madad karoge,CAPABILITIES
correct,CONFIRMATION
aap kaise ho,CASUAL_CONVERSATION
thank you so much,THANKS
aap kaise ho,CASUAL_CONVERSATION
open manhole on road near sector 17,CIVIC_GRIEVANCE
change priority,CORRECTION
हमारे मोहल्ले में पानी नहीं आ रहा है,CIVIC_GRIEVANCE
that's not the category,CORRECTION
garbage has not been collected from vasant kunj for 7 days,CIVIC_GRIEVANCE
ஹலோ,GREETING
what's up,CASUAL_CONVERSATION
hello assistant,GREETING
power has been out in railway station road for 2 hours,CIVIC_GRIEVANCE
help me,CAPABILITIES
i'm fine,CASUAL_CONVERSATION
మా ప్రాంతంలో నీరు రావడం లేదు,CIVIC_GRIEVANCE
தெருவிளக்கு வேலை செய்யவில்லை,CIVIC_GRIEVANCE
waterlogging in saket after light rain,CIVIC_GRIEVANCE
transformer is sparking violently near civil lines,CIVIC_GRIEVANCE
আমাদের এলাকায় জল আসছে না,CIVIC_GRIEVANCE
হাই,GREETING
dirty contaminated water coming from tap in vasant kunj,CIVIC_GRIEVANCE
good morning,GREETING
that's wrong,DENIAL
that is not my problem,DENIAL
live electrical wire dangling dangerously near civil lines,CIVIC_GRIEVANCE
there is a problem,NEEDS_CLARIFICATION
தெருவிளக்கு வேலை செய்யவில்லை,CIVIC_GRIEVANCE
hi sir,GREETING
fogging required urgently in railway station road,CIVIC_GRIEVANCE
yes that's correct,CONFIRMATION
வணக்கம்,GREETING
about,CAPABILITIES
వీధి దీపం పనిచేయడం లేదు,CIVIC_GRIEVANCE
hey assistant,GREETING
open manhole on road near civil lines,CIVIC_GRIEVANCE
how can you help,CAPABILITIES
kaise ho,CASUAL_CONVERSATION
i'm fine,CASUAL_CONVERSATION
power has been out in saket for 4 hours,CIVIC_GRIEVANCE
help,CAPABILITIES
எங்கள் பகுதியில் தண்ணீர் வரவில்லை,CIVIC_GRIEVANCE
live electrical wire dangling dangerously near karol bagh,CIVIC_GRIEVANCE
i need a doctor,OUT_OF_SCOPE
xyz123,OUT_OF_SCOPE
great thanks,THANKS
haan,CONFIRMATION
stagnant water pool near vasant kunj causing mosquito breeding,CIVIC_GRIEVANCE
water issue,NEEDS_CLARIFICATION
hello assistant,GREETING
no the location is wrong,CORRECTION
asdfghjkl,OUT_OF_SCOPE
मेरे इलाके में बिजली नहीं आ रही है,CIVIC_GRIEVANCE
stagnant water pool near saket causing mosquito breeding,CIVIC_GRIEVANCE
the road near civil lines is completely broken and damaged,CIVIC_GRIEVANCE
आमच्या भागात पाणी येत नाही,CIVIC_GRIEVANCE
hellooo,GREETING
how does this work,CAPABILITIES
our taps are dry since monday,CIVIC_GRIEVANCE
hey buddy,GREETING
road problem,NEEDS_CLARIFICATION
shukriya,THANKS
edit details,CORRECTION
nali overflow kar rahi hai railway station road me,CIVIC_GRIEVANCE
haan,CONFIRMATION
garbage has not been collected from railway station road for 7 days,CIVIC_GRIEVANCE
wrong department,CORRECTION
incorrect,DENIAL
water has not come for 4 days in karol bagh,CIVIC_GRIEVANCE
hello assistant,GREETING
open manhole on road near saket,CIVIC_GRIEVANCE
ok,CONFIRMATION
thanks bot,THANKS
change the location,CORRECTION
no thanks,DENIAL
street light band hai saket me,CIVIC_GRIEVANCE
testing 123,OUT_OF_SCOPE
kachra 4 din se nahi uthaya gaya hai sector 17 se,CIVIC_GRIEVANCE
power has been out in civil lines for 7 hours,CIVIC_GRIEVANCE
dirty contaminated water coming from tap in vasant kunj,CIVIC_GRIEVANCE
hamare area saket me paani nahi aa raha hai,CIVIC_GRIEVANCE
kaise madad karoge,CAPABILITIES
thanks bot,THANKS
kachra 4 din se nahi uthaya gaya hai railway station road se,CIVIC_GRIEVANCE
hello sir there is a water pipe leaking on the road in model town,CIVIC_GRIEVANCE
हमारे मोहल्ले में पानी नहीं आ रहा है,CIVIC_GRIEVANCE
hey assistant,GREETING
dirty contaminated water coming from tap in civil lines,CIVIC_GRIEVANCE
sab badhiya,CASUAL_CONVERSATION
kya kar sakte ho,CAPABILITIES
தெருவிளக்கு வேலை செய்யவில்லை,CIVIC_GRIEVANCE
మా ప్రాంతంలో నీరు రావడం లేదు,CIVIC_GRIEVANCE
garbage has not been collected from karol bagh for 7 days,CIVIC_GRIEVANCE
রাস্তার আলো কাজ করছে না,CIVIC_GRIEVANCE
వీధి దీపం పనిచేయడం లేదు,CIVIC_GRIEVANCE
waterlogging in karol bagh after light rain,CIVIC_GRIEVANCE
dirty contaminated water coming from tap in railway station road,CIVIC_GRIEVANCE
asdfghjkl,OUT_OF_SCOPE
help me,CAPABILITIES
confirm,CONFIRMATION
namaskar,GREETING
नमस्ते,GREETING
who won the match,OUT_OF_SCOPE
i am fine so the problem is that there is a road on that road there is a pipe leaking,CIVIC_GRIEVANCE
how are you,CASUAL_CONVERSATION
overflowing waste bin in saket,CIVIC_GRIEVANCE
i'm good,CASUAL_CONVERSATION
okay thanks,THANKS
open manhole on road near saket,CIVIC_GRIEVANCE
hi bot,GREETING
waterlogging in karol bagh after light rain,CIVIC_GRIEVANCE
எங்கள் பகுதியில் தண்ணீர் வரவில்லை,CIVIC_GRIEVANCE
namaste ji,GREETING
there is no water supply in sector 17,CIVIC_GRIEVANCE
fogging required urgently in vasant kunj,CIVIC_GRIEVANCE
water has not come for 2 days in karol bagh,CIVIC_GRIEVANCE
waterlogging in sector 17 after light rain,CIVIC_GRIEVANCE
தெருவிளக்கு வேலை செய்யவில்லை,CIVIC_GRIEVANCE
nahi,DENIAL
எங்கள் பகுதியில் தண்ணீர் வரவில்லை,CIVIC_GRIEVANCE
hey,GREETING
hello how are you,CASUAL_CONVERSATION
how are you,CASUAL_CONVERSATION
stagnant water pool near civil lines causing mosquito breeding,CIVIC_GRIEVANCE
water issue,NEEDS_CLARIFICATION
open manhole on road near railway station road,CIVIC_GRIEVANCE
awesome thanks,THANKS
street light band hai saket me,CIVIC_GRIEVANCE
bijli 6 ghante se nahi hai sector 17 me,CIVIC_GRIEVANCE
transformer is sparking violently near sector 17,CIVIC_GRIEVANCE
namaste ji,GREETING
blabla,OUT_OF_SCOPE
i am fine but the pipeline outside my house in sector 17 is leaking,CIVIC_GRIEVANCE
வணக்கம்,GREETING
our taps are dry since last night,CIVIC_GRIEVANCE
হ্যালো,GREETING
వీధి దీపం పనిచేయడం లేదు,CIVIC_GRIEVANCE
awesome thanks,THANKS
kachra 4 din se nahi uthaya gaya hai civil lines se,CIVIC_GRIEVANCE
hello how are you,CASUAL_CONVERSATION
electric problem,NEEDS_CLARIFICATION
आमच्या भागात पाणी येत नाही,CIVIC_GRIEVANCE
yeah,CONFIRMATION
thank you so much,THANKS
sahi hai,CONFIRMATION
that's not the category,CORRECTION
location is incorrect,CORRECTION
thankyou,THANKS
open manhole on road near saket,CIVIC_GRIEVANCE
hellooo,GREETING
can you book a hotel,OUT_OF_SCOPE
open manhole on road near sector 17,CIVIC_GRIEVANCE
something wrong near my house,NEEDS_CLARIFICATION
what's up,CASUAL_CONVERSATION
tell me a joke,OUT_OF_SCOPE
హలో,GREETING
our taps are dry since monday,CIVIC_GRIEVANCE
रस्त्यावरील दिवा चालू नाही,CIVIC_GRIEVANCE
எங்கள் பகுதியில் தண்ணீர் வரவில்லை,CIVIC_GRIEVANCE
good morning bot,GREETING
मेरे इलाके में बिजली नहीं आ रही है,CIVIC_GRIEVANCE
dark street near saket creating safety risk,CIVIC_GRIEVANCE
మా ప్రాంతంలో నీరు రావడం లేదు,CIVIC_GRIEVANCE
dirty contaminated water coming from tap in model town,CIVIC_GRIEVANCE
submit it,CONFIRMATION
water has not come for 3 days in civil lines,CIVIC_GRIEVANCE
location is incorrect,CORRECTION
huge pile of uncollected trash dumped near saket,CIVIC_GRIEVANCE
help me,CAPABILITIES
can you help me,CAPABILITIES
live electrical wire dangling dangerously near railway station road,CIVIC_GRIEVANCE
what services do you offer,CAPABILITIES
what is this,CAPABILITIES
thanks,THANKS
that is not my problem,DENIAL
who won the match,OUT_OF_SCOPE
no,DENIAL
bijli 6 ghante se nahi hai saket me,CIVIC_GRIEVANCE
hey there,GREETING
movie tickets,OUT_OF_SCOPE
bijli 6 ghante se nahi hai vasant kunj me,CIVIC_GRIEVANCE
thankyou,THANKS
what can you do,CAPABILITIES
हॅलो,GREETING
রাস্তার আলো কাজ করছে না,CIVIC_GRIEVANCE
hiii,GREETING
வணக்கம்,GREETING
yes submit,CONFIRMATION
हॅलो,GREETING
wrong department,CORRECTION
aap kya karte ho,CAPABILITIES
thanks a lot,THANKS
hello bot,GREETING
huge deep potholes on the main road in karol bagh,CIVIC_GRIEVANCE
water has not come for 7 days in railway station road,CIVIC_GRIEVANCE
मेरे इलाके में बिजली नहीं आ रही है,CIVIC_GRIEVANCE
what is 2 plus 2,OUT_OF_SCOPE
hii,GREETING
my laptop is broken,OUT_OF_SCOPE
i am fine,CASUAL_CONVERSATION
thanks a lot,THANKS
helo,GREETING
మా ప్రాంతంలో నీరు రావడం లేదు,CIVIC_GRIEVANCE
hamare area model town me paani nahi aa raha hai,CIVIC_GRIEVANCE
who won the match,OUT_OF_SCOPE
there is no water supply in karol bagh,CIVIC_GRIEVANCE
thank you,THANKS
আমাদের এলাকায় জল আসছে না,CIVIC_GRIEVANCE
হ্যালো,GREETING
street lights have been off for 4 nights in vasant kunj,CIVIC_GRIEVANCE
dhanyawad,THANKS
hello sir there is a water pipe leaking on the road in civil lines,CIVIC_GRIEVANCE
water has not come for 5 days in railway station road,CIVIC_GRIEVANCE
hii,GREETING
great thanks,THANKS
hellooo,GREETING
play music,OUT_OF_SCOPE
perfect thanks,THANKS
sure,CONFIRMATION
live electrical wire dangling dangerously near karol bagh,CIVIC_GRIEVANCE
dark street near model town creating safety risk,CIVIC_GRIEVANCE
sahi hai,CONFIRMATION
yes please,CONFIRMATION
no the location is wrong,CORRECTION
मेरे इलाके में बिजली नहीं आ रही है,CIVIC_GRIEVANCE
street light band hai civil lines me,CIVIC_GRIEVANCE
hey buddy,GREETING
thank you sir,THANKS
proceed,CONFIRMATION
something wrong near my house,NEEDS_CLARIFICATION
about,CAPABILITIES
hii,GREETING
the road near railway station road is completely broken and damaged,CIVIC_GRIEVANCE
okay,CONFIRMATION
street lights have been off for 2 nights in sector 17,CIVIC_GRIEVANCE
all good,CASUAL_CONVERSATION
ha,CONFIRMATION
kachra 4 din se nahi uthaya gaya hai civil lines se,CIVIC_GRIEVANCE
huge pile of uncollected trash dumped near saket,CIVIC_GRIEVANCE
water issue,NEEDS_CLARIFICATION
আমাদের এলাকায় জল আসছে না,CIVIC_GRIEVANCE
hello assistant,GREETING
bilkul,CONFIRMATION
street light band hai karol bagh me,CIVIC_GRIEVANCE
garbage has not been collected from railway station road for 2 days,CIVIC_GRIEVANCE
tum kaun ho,CAPABILITIES
waterlogging in railway station road after light rain,CIVIC_GRIEVANCE
yes please,CONFIRMATION
awesome thanks,THANKS
sahi hai,CONFIRMATION
good morning bot,GREETING
nali overflow kar rahi hai railway station road me,CIVIC_GRIEVANCE
something wrong near my house,NEEDS_CLARIFICATION
cancel,DENIAL
my laptop is broken,OUT_OF_SCOPE
nali overflow kar rahi hai saket me,CIVIC_GRIEVANCE
how is it going,CASUAL_CONVERSATION
play music,OUT_OF_SCOPE
street lights have been off for 4 nights in karol bagh,CIVIC_GRIEVANCE
drainage gutter overflow flooding road in vasant kunj,CIVIC_GRIEVANCE
cancel,DENIAL
i need a doctor,OUT_OF_SCOPE
ok,CONFIRMATION
what is the capital of france,OUT_OF_SCOPE
water pipeline is leaking near sector 17,CIVIC_GRIEVANCE
మా ప్రాంతంలో నీరు రావడం లేదు,CIVIC_GRIEVANCE
మా ప్రాంతంలో నీరు రావడం లేదు,CIVIC_GRIEVANCE
i want to change the details,CORRECTION
dhanyawad,THANKS
how can you help,CAPABILITIES
রাস্তার আলো কাজ করছে না,CIVIC_GRIEVANCE
random stuff,OUT_OF_SCOPE
thanks bot,THANKS
नमस्ते,GREETING
correct,CONFIRMATION
hiii,GREETING
எங்கள் பகுதியில் தண்ணீர் வரவில்லை,CIVIC_GRIEVANCE
আমাদের এলাকায় জল আসছে না,CIVIC_GRIEVANCE
i am good,CASUAL_CONVERSATION
nope,DENIAL
menu,CAPABILITIES
waterlogging in model town after light rain,CIVIC_GRIEVANCE
street light band hai saket me,CIVIC_GRIEVANCE
i am fine but the pipeline outside my house in vasant kunj is leaking,CIVIC_GRIEVANCE
road ki condition bahut kharab hai saket me,CIVIC_GRIEVANCE
haye,GREETING
power has been out in civil lines for 3 hours,CIVIC_GRIEVANCE
help me,CAPABILITIES
my laptop is broken,OUT_OF_SCOPE
category wrong hai,CORRECTION
waterlogging in vasant kunj after light rain,CIVIC_GRIEVANCE
overflowing waste bin in vasant kunj,CIVIC_GRIEVANCE
dirty contaminated water coming from tap in karol bagh,CIVIC_GRIEVANCE
submit it,CONFIRMATION
change priority,CORRECTION
awesome thanks,THANKS
bijli 6 ghante se nahi hai saket me,CIVIC_GRIEVANCE
road ki condition bahut kharab hai railway station road me,CIVIC_GRIEVANCE
हमारे मोहल्ले में पानी नहीं आ रहा है,CIVIC_GRIEVANCE
i am fine but the pipeline outside my house in civil lines is leaking,CIVIC_GRIEVANCE
no thanks,DENIAL
hello sir there is a water pipe leaking on the road in model town,CIVIC_GRIEVANCE
there is no water supply in civil lines,CIVIC_GRIEVANCE
water pipeline is leaking near karol bagh,CIVIC_GRIEVANCE
what features do you have,CAPABILITIES
no thanks,DENIAL
stagnant water pool near saket causing mosquito breeding,CIVIC_GRIEVANCE
namaskar,GREETING
yes that's correct,CONFIRMATION
street lights have been off for 2 nights in vasant kunj,CIVIC_GRIEVANCE
bilkul,CONFIRMATION
help,CAPABILITIES
that is not my problem,DENIAL
hello sir there is a water pipe leaking on the road in civil lines,CIVIC_GRIEVANCE
garbage has not been collected from civil lines for 4 days,CIVIC_GRIEVANCE
shukriya,THANKS
asdfghjkl,OUT_OF_SCOPE
confirm,CONFIRMATION
hello bot,GREETING
there is no water supply in railway station road,CIVIC_GRIEVANCE
nah,DENIAL
drainage gutter overflow flooding road in sector 17,CIVIC_GRIEVANCE
help,CAPABILITIES
info,CAPABILITIES
నమస్తే,GREETING
our taps are dry since monday,CIVIC_GRIEVANCE
hi bot,GREETING
huge deep potholes on the main road in civil lines,CIVIC_GRIEVANCE
my area has a problem,NEEDS_CLARIFICATION
xyz123,OUT_OF_SCOPE
what can you do,CAPABILITIES
kaise madad karoge,CAPABILITIES
not correct,DENIAL
category wrong hai,CORRECTION
வணக்கம்,GREETING
our taps are dry since yesterday,CIVIC_GRIEVANCE
yep,CONFIRMATION
hello sir there is a water pipe leaking on the road in sector 17,CIVIC_GRIEVANCE
water pipeline is leaking near sector 17,CIVIC_GRIEVANCE
na,DENIAL
sab badhiya,CASUAL_CONVERSATION
kya kar sakte ho,CAPABILITIES
bilkul,CONFIRMATION
drainage gutter overflow flooding road in saket,CIVIC_GRIEVANCE
தெருவிளக்கு வேலை செய்யவில்லை,CIVIC_GRIEVANCE
open manhole on road near saket,CIVIC_GRIEVANCE
huge deep potholes on the main road in vasant kunj,CIVIC_GRIEVANCE
আমাদের এলাকায় জল আসছে না,CIVIC_GRIEVANCE
yeah,CONFIRMATION
that's not the category,CORRECTION
all good,CASUAL_CONVERSATION
drainage gutter overflow flooding road in saket,CIVIC_GRIEVANCE
hello sir,GREETING
fogging required urgently in civil lines,CIVIC_GRIEVANCE
yes submit,CONFIRMATION
huge deep potholes on the main road in civil lines,CIVIC_GRIEVANCE
எங்கள் பகுதியில் தண்ணீர் வரவில்லை,CIVIC_GRIEVANCE
random stuff,OUT_OF_SCOPE
good afternoon,GREETING
how can you help,CAPABILITIES
my area has a problem,NEEDS_CLARIFICATION
who are you,CAPABILITIES
namaste,GREETING
thanks a lot,THANKS
hello sir,GREETING
helo,GREETING
వీధి దీపం పనిచేయడం లేదు,CIVIC_GRIEVANCE
हमारे मोहल्ले में पानी नहीं आ रहा है,CIVIC_GRIEVANCE
ok,CONFIRMATION
great thanks,THANKS
आमच्या भागात पाणी येत नाही,CIVIC_GRIEVANCE
தெருவிளக்கு வேலை செய்யவில்லை,CIVIC_GRIEVANCE
asdfghjkl,OUT_OF_SCOPE
எங்கள் பகுதியில் தண்ணீர் வரவில்லை,CIVIC_GRIEVANCE
namaste,GREETING
आमच्या भागात पाणी येत नाही,CIVIC_GRIEVANCE
தெருவிளக்கு வேலை செய்யவில்லை,CIVIC_GRIEVANCE
nali overflow kar rahi hai vasant kunj me,CIVIC_GRIEVANCE
nah,DENIAL
issue in my locality,NEEDS_CLARIFICATION
how is it going,CASUAL_CONVERSATION
good afternoon,GREETING
thank you so much,THANKS
thank you so much,THANKS
road ki condition bahut kharab hai sector 17 me,CIVIC_GRIEVANCE
waterlogging in sector 17 after light rain,CIVIC_GRIEVANCE
drainage gutter overflow flooding road in model town,CIVIC_GRIEVANCE
that's right,CONFIRMATION
hello how are you,CASUAL_CONVERSATION
huge pile of uncollected trash dumped near saket,CIVIC_GRIEVANCE
haan,CONFIRMATION
ha,CONFIRMATION
bahut dhanyawad,THANKS
thank you sir,THANKS
i am fine so the problem is that there is a road on that road there is a pipe leaking,CIVIC_GRIEVANCE
yeah,CONFIRMATION
huge deep potholes on the main road in model town,CIVIC_GRIEVANCE
location is incorrect,CORRECTION
hello sir there is a water pipe leaking on the road in model town,CIVIC_GRIEVANCE
garbage has not been collected from civil lines for 3 days,CIVIC_GRIEVANCE
dark street near vasant kunj creating safety risk,CIVIC_GRIEVANCE
dirty contaminated water coming from tap in karol bagh,CIVIC_GRIEVANCE
what are you,CAPABILITIES
that's not the category,CORRECTION
what is the weather today,OUT_OF_SCOPE
tell me a joke,OUT_OF_SCOPE
footpath tiles are broken near saket,CIVIC_GRIEVANCE
i'm fine,CASUAL_CONVERSATION
proceed,CONFIRMATION
sure,CONFIRMATION
no the location is wrong,CORRECTION
there is no water supply in civil lines,CIVIC_GRIEVANCE
street light band hai civil lines me,CIVIC_GRIEVANCE
stagnant water pool near vasant kunj causing mosquito breeding,CIVIC_GRIEVANCE
there is no water supply in civil lines,CIVIC_GRIEVANCE
huge pile of uncollected trash dumped near civil lines,CIVIC_GRIEVANCE
dirty contaminated water coming from tap in model town,CIVIC_GRIEVANCE
thankyou,THANKS
stop,DENIAL
submit it,CONFIRMATION
go ahead,CONFIRMATION
aap kaun ho,CAPABILITIES
हमारे मोहल्ले में पानी नहीं आ रहा है,CIVIC_GRIEVANCE
footpath tiles are broken near railway station road,CIVIC_GRIEVANCE
change the location,CORRECTION
dark street near model town creating safety risk,CIVIC_GRIEVANCE
location change karo,CORRECTION
bijli 6 ghante se nahi hai railway station road me,CIVIC_GRIEVANCE
there is no water supply in sector 17,CIVIC_GRIEVANCE
menu,CAPABILITIES
transformer is sparking violently near karol bagh,CIVIC_GRIEVANCE
movie tickets,OUT_OF_SCOPE
রাস্তার আলো কাজ করছে না,CIVIC_GRIEVANCE
i am fine but the pipeline outside my house in saket is leaking,CIVIC_GRIEVANCE
no don't,DENIAL
thank you sir,THANKS
there is no water supply in railway station road,CIVIC_GRIEVANCE
tum kaun ho,CAPABILITIES
வணக்கம்,GREETING
kachra 4 din se nahi uthaya gaya hai sector 17 se,CIVIC_GRIEVANCE
dirty contaminated water coming from tap in vasant kunj,CIVIC_GRIEVANCE
there is a problem,NEEDS_CLARIFICATION
bijli 6 ghante se nahi hai karol bagh me,CIVIC_GRIEVANCE
my area has a problem,NEEDS_CLARIFICATION
menu,CAPABILITIES
there is some civic issue,NEEDS_CLARIFICATION
no,DENIAL
water pipeline is leaking near karol bagh,CIVIC_GRIEVANCE
hello there,GREETING
what features do you have,CAPABILITIES
i'm fine,CASUAL_CONVERSATION
హలో,GREETING
confirm,CONFIRMATION
what features do you have,CAPABILITIES
who won the match,OUT_OF_SCOPE
power has been out in sector 17 for 3 hours,CIVIC_GRIEVANCE
aap kaun ho,CAPABILITIES
water has not come for 2 days in saket,CIVIC_GRIEVANCE
hey there,GREETING
thank you sir,THANKS
yes,CONFIRMATION
আমাদের এলাকায় জল আসছে না,CIVIC_GRIEVANCE
haye,GREETING
incorrect,DENIAL
footpath tiles are broken near model town,CIVIC_GRIEVANCE
i am fine,CASUAL_CONVERSATION
nahi,DENIAL
cricket score,OUT_OF_SCOPE
hello,GREETING
রাস্তার আলো কাজ করছে না,CIVIC_GRIEVANCE
no thanks,DENIAL
the road near model town is completely broken and damaged,CIVIC_GRIEVANCE
traffic signal lights not working at karol bagh intersection,CIVIC_GRIEVANCE
nali overflow kar rahi hai karol bagh me,CIVIC_GRIEVANCE
fogging required urgently in civil lines,CIVIC_GRIEVANCE
huge pile of uncollected trash dumped near karol bagh,CIVIC_GRIEVANCE
i want to change the details,CORRECTION
nevermind,DENIAL
my laptop is broken,OUT_OF_SCOPE
menu,CAPABILITIES
cancel,DENIAL
nali overflow kar rahi hai vasant kunj me,CIVIC_GRIEVANCE
aap kya karte ho,CAPABILITIES
எங்கள் பகுதியில் தண்ணீர் வரவில்லை,CIVIC_GRIEVANCE
aap kaun ho,CAPABILITIES
వీధి దీపం పనిచేయడం లేదు,CIVIC_GRIEVANCE
i am fine so the problem is that there is a road on that road there is a pipe leaking,CIVIC_GRIEVANCE
हमारे मोहल्ले में पानी नहीं आ रहा है,CIVIC_GRIEVANCE
nevermind,DENIAL
what features do you have,CAPABILITIES
hello bot,GREETING
water pipeline is leaking near railway station road,CIVIC_GRIEVANCE
namaste ji,GREETING
water has not come for 2 days in model town,CIVIC_GRIEVANCE
can you book a hotel,OUT_OF_SCOPE
stagnant water pool near sector 17 causing mosquito breeding,CIVIC_GRIEVANCE
okay thanks,THANKS
what is this,CAPABILITIES
play music,OUT_OF_SCOPE
रस्त्यावरील दिवा चालू नाही,CIVIC_GRIEVANCE
no the location is wrong,CORRECTION
play music,OUT_OF_SCOPE
can you book a hotel,OUT_OF_SCOPE
the road near vasant kunj is completely broken and damaged,CIVIC_GRIEVANCE
i'm good,CASUAL_CONVERSATION
all good,CASUAL_CONVERSATION
confirm,CONFIRMATION
stagnant water pool near model town causing mosquito breeding,CIVIC_GRIEVANCE
hamare area railway station road me paani nahi aa raha hai,CIVIC_GRIEVANCE
power has been out in civil lines for 3 hours,CIVIC_GRIEVANCE
what is the capital of france,OUT_OF_SCOPE
hello sir,GREETING
confirm,CONFIRMATION
मेरे इलाके में बिजली नहीं आ रही है,CIVIC_GRIEVANCE
change priority,CORRECTION
menu,CAPABILITIES
overflowing waste bin in sector 17,CIVIC_GRIEVANCE
traffic signal lights not working at model town intersection,CIVIC_GRIEVANCE
hello there,GREETING
my laptop is broken,OUT_OF_SCOPE
হ্যালো,GREETING
traffic signal lights not working at karol bagh intersection,CIVIC_GRIEVANCE
tell me a joke,OUT_OF_SCOPE
random stuff,OUT_OF_SCOPE
sure,CONFIRMATION
help me,CAPABILITIES
road problem,NEEDS_CLARIFICATION
kaise ho,CASUAL_CONVERSATION
namaste ji,GREETING
వీధి దీపం పనిచేయడం లేదు,CIVIC_GRIEVANCE
that's right,CONFIRMATION
hamare area karol bagh me paani nahi aa raha hai,CIVIC_GRIEVANCE
आमच्या भागात पाणी येत नाही,CIVIC_GRIEVANCE
রাস্তার আলো কাজ করছে না,CIVIC_GRIEVANCE
sahi hai,CONFIRMATION
huge deep potholes on the main road in model town,CIVIC_GRIEVANCE
hi,GREETING
street lights have been off for 2 nights in model town,CIVIC_GRIEVANCE
footpath tiles are broken near model town,CIVIC_GRIEVANCE
shukriya,THANKS
ok,CONFIRMATION
आमच्या भागात पाणी येत नाही,CIVIC_GRIEVANCE
street lights have been off for 3 nights in vasant kunj,CIVIC_GRIEVANCE
i need a doctor,OUT_OF_SCOPE
hi sir,GREETING
hey assistant,GREETING
आमच्या भागात पाणी येत नाही,CIVIC_GRIEVANCE
that's wrong,DENIAL
hello sir there is a water pipe leaking on the road in karol bagh,CIVIC_GRIEVANCE
huge pile of uncollected trash dumped near model town,CIVIC_GRIEVANCE
drainage gutter overflow flooding road in karol bagh,CIVIC_GRIEVANCE
i am fine but the pipeline outside my house in karol bagh is leaking,CIVIC_GRIEVANCE
tum kaun ho,CAPABILITIES
what is your purpose,CAPABILITIES
road ki condition bahut kharab hai sector 17 me,CIVIC_GRIEVANCE
रस्त्यावरील दिवा चालू नाही,CIVIC_GRIEVANCE
no,DENIAL
i am fine so the problem is that there is a road on that road there is a pipe leaking,CIVIC_GRIEVANCE
correct,CONFIRMATION
issue in my locality,NEEDS_CLARIFICATION
எங்கள் பகுதியில் தண்ணீர் வரவில்லை,CIVIC_GRIEVANCE
cricket score,OUT_OF_SCOPE
drainage gutter overflow flooding road in saket,CIVIC_GRIEVANCE
hiii,GREETING
how are you,CASUAL_CONVERSATION
menu,CAPABILITIES
yep,CONFIRMATION
fogging required urgently in model town,CIVIC_GRIEVANCE
that's right,CONFIRMATION
i am good,CASUAL_CONVERSATION
